LGA,LGA_CODE,Region,Median Age,Median Weekly Income ($),No. Non-English Speakers,"Non-English Speakers per 100,000",Land Area (km^2),Population,Population Density (per km^2),Active Cases,Total Cases,"Active Cases per 100,000",1st Vaccination %,2nd Vaccination %,log Active Cases,Weekly Median Income (normalised),sqrt Population Density
Alpine,LGA20110,Regional,49,562,119,929,4788,12814,2.68,0,1,0,89.9,65.7,0.00,-0.49,1.64
Ararat,LGA20260,Regional,46,556,78,659,4211,11845,2.81,7,15,59,85.9,59,1.77,-0.54,1.68
Ballarat,LGA20570,Regional,38,590,710,648,739,109505,148.18,36,114,33,88.4,57.4,1.52,-0.26,12.17
Banyule,LGA20660,Metro,39,728,3689,2803,63,131631,2089.38,243,857,185,86.6,59.9,2.27,0.86,45.71
Bass Coast,LGA20740,Regional,50,507,210,578,866,36320,41.94,9,22,25,93.9,64,1.39,-0.93,6.48
Baw Baw,LGA20830,Regional,42,585,241,451,4028,53396,13.26,34,52,64,85,55.7,1.80,-0.30,3.64
Bayside,LGA20910,Metro,44,897,1710,1600,37,106862,2888.16,97,401,91,91.2,68.1,1.96,2.23,53.74
Benalla,LGA21010,Regional,49,537,50,356,2353,14037,5.97,4,7,28,90.3,65.1,1.45,-0.69,2.44
Boroondara,LGA21110,Metro,38,869,6791,3707,60,183199,3053.32,113,452,62,85.7,62.8,1.79,2.01,55.26
Brimbank,LGA21180,Metro,35,487,25990,12404,123,209523,1703.44,977,3479,466,78.3,43.7,2.67,-1.10,41.27
Buloke,LGA21270,Regional,51,473,17,278,8000,6124,0.77,0,0,0,95,70.3,0.00,-1.21,0.87
Campaspe,LGA21370,Regional,45,561,128,340,4519,37622,8.33,5,16,13,92.5,60.2,1.12,-0.50,2.89
Cardinia,LGA21450,Metro,34,680,1195,1065,1283,112159,87.42,245,552,218,84.7,48.9,2.34,0.47,9.35
Casey,LGA21610,Metro,34,640,16303,4607,409,353872,865.21,870,2163,246,83.4,46.5,2.39,0.15,29.41
Central Goldfields,LGA21670,Regional,50,452,40,303,1533,13186,8.60,0,2,0,87,62.7,0.00,-1.38,2.93
Colac Otway,LGA21750,Regional,45,574,143,663,3438,21564,6.27,11,150,51,87.4,57.8,1.71,-0.39,2.50
Corangamite,LGA21830,Regional,46,542,23,144,4408,16020,3.63,3,9,19,92.3,62,1.27,-0.65,1.91
Darebin,LGA21890,Metro,36,650,10768,6558,54,164184,3040.44,481,1530,293,73.5,46.6,2.47,0.23,55.14
East Gippsland,LGA22110,Regional,50,506,198,418,20940,47316,2.26,2,11,4,89,63.5,0.63,-0.94,1.50
Frankston,LGA22170,Metro,38,660,1822,1277,130,142643,1097.25,138,415,97,80.9,50.5,1.99,0.31,33.12
