LGA,LGA_CODE,region,age,weekly_income,non_english,prop_non_english,area,pop,pop_density,active,Total Cases,case_rate,First,Second,log_active,normalised_weekly_income,sqrt_pop_density
Alpine,LGA20110,Regional,49,562,119,9.286717653,4788,12814,2.676274018,0,1,0,89.9,65.7,0,-0.487986045,1.635932156
Ararat,LGA20260,Regional,46,556,78,6.585056986,4211,11845,2.812871052,7,15,59.09666526,85.9,59,1.771562975,-0.536733228,1.677161606
Ballarat,LGA20570,Regional,38,590,710,6.483722204,739,109505,148.1799729,36,114,32.87521118,88.4,57.4,1.516868551,-0.260499189,12.17291966
Banyule,LGA20660,Metro,39,728,3689,28.02531319,63,131631,2089.380952,243,857,184.6069695,86.6,59.9,2.266248093,0.860686029,45.7097468
Bass Coast,LGA20740,Regional,50,507,210,5.781938326,866,36320,41.93995381,9,22,24.77973568,93.9,64,1.39409667,-0.934835226,6.476106377
Baw Baw,LGA20830,Regional,42,585,241,4.5134467,4028,53396,13.25620655,34,52,63.67518166,85,55.7,1.803970193,-0.301121842,3.640907381
Bayside,LGA20910,Metro,44,897,1710,16.00194644,37,106862,2888.162162,97,401,90.7712751,91.2,68.1,1.957948436,2.233731695,53.74162411
Benalla,LGA21010,Regional,49,537,50,3.562014676,2353,14037,5.965575861,4,7,28.4961174,90.3,65.1,1.454785691,-0.691099309,2.442452837
Boroondara,LGA21110,Metro,38,869,6791,37.06897963,60,183199,3053.316667,113,452,61.6815594,85.7,62.8,1.790155345,2.006244839,55.25682462
Brimbank,LGA21180,Metro,35,487,25990,124.0436611,123,209523,1703.439024,977,3479,466.2972561,78.3,43.7,2.66866286,-1.097325837,41.27273948
Buloke,LGA21270,Regional,51,473,17,2.775963423,8000,6124,0.7655,0,0,0,95,70.3,0,-1.211069265,0.874928569
Campaspe,LGA21370,Regional,45,561,128,3.402264632,4519,37622,8.325293206,5,16,13.29009622,92.5,60.2,1.123528125,-0.496110575,2.885358419
Cardinia,LGA21450,Metro,34,680,1195,10.65451725,1283,112159,87.4193297,245,552,218.4398934,84.7,48.9,2.339331956,0.470708562,9.349830463
Casey,LGA21610,Metro,34,640,16303,46.07033051,409,353872,865.2127139,870,2163,245.8516074,83.4,46.5,2.390673052,0.145727339,29.41449836
Central Goldfields,LGA21670,Regional,50,452,40,3.0335204,1533,13186,8.601435095,0,2,0,87,62.7,0,-1.381684407,2.932820331
Colac Otway,LGA21750,Regional,45,574,143,6.631422742,3438,21564,6.272251309,11,150,51.01094417,87.4,57.8,1.707663362,-0.390491678,2.504446308
Corangamite,LGA21830,Regional,46,542,23,1.435705368,4408,16020,3.63430127,3,9,18.72659176,92.3,62,1.272458743,-0.650476656,1.906384345
Darebin,LGA21890,Metro,36,650,10768,65.58495347,54,164184,3040.444444,481,1530,292.9639916,73.5,46.6,2.466814244,0.226972645,55.14022528
East Gippsland,LGA22110,Regional,50,506,198,4.184630992,20940,47316,2.259598854,2,11,4.226899992,89,63.5,0.626021973,-0.942959756,1.503196213
Frankston,LGA22170,Metro,38,660,1822,12.77314695,130,142643,1097.253846,138,415,96.74502079,80.9,50.5,1.985628622,0.308217951,33.12482221
Gannawarra,LGA22250,Regional,49,498,26,2.482811306,3735,10472,2.803748327,6,9,57.29564553,91.2,62.4,1.758121617,-1.007956001,1.674439705
Glen Eira,LGA22310,Metro,37,780,5815,37.15393806,39,156511,4013.102564,135,449,86.25591811,83.5,57.8,1.935788902,1.283161618,63.34905338
Glenelg,LGA22410,Regional,47,536,42,2.134797194,6219,19674,3.163531114,0,19,0,88.7,59.3,0,-0.699223839,1.77863181
Golden Plains,LGA22490,Regional,39,628,61,2.57145266,2703,23722,8.776174621,3,22,12.64648849,89,55.2,1.101969953,0.048232973,2.962460906
Greater Bendigo,LGA22620,Regional,39,604,1071,9.069123487,3000,118093,39.36433333,12,116,10.1614829,87.9,60.2,1.006957091,-0.146755761,6.274100201
