LGA,LGA_CODE,Region,Median Age,Median Weekly Income ($),No. non English,non English per 100000,Land Area (km^2),Population Size,Population Density (per km^2),Active Cases,Total Cases,Active Cases per 100000,1st Vaccination %,2nd Vaccination %,log Active Cases,Median Weekly Income (normalised),sqrt Population Density,second
Alpine,LGA20110,Regional,49,562,119,928.6717653,1849,12814,6.930232558,0,1,0,89.9,65.7,0,-0.487986045,2.632533487,65.7
Ararat,LGA20260,Regional,46,556,78,658.5056986,1626,11845,7.284747847,7,15,59.09666526,85.9,59,1.771562975,-0.536733228,2.699027204,59
Ballarat,LGA20570,Regional,38,590,710,648.3722204,285,109505,384.2280702,36,114,32.87521118,88.4,57.4,1.516868551,-0.260499189,19.60173641,57.4
Banyule,LGA20660,Metro,39,728,3689,2802.531319,63,131631,2089.380952,243,857,184.6069695,86.6,59.9,2.266248093,0.860686029,45.7097468,59.9
Bass Coast,LGA20740,Regional,50,507,210,578.1938326,1555,36320,23.35691318,9,22,24.77973568,93.9,64,1.39409667,-0.934835226,4.832899045,64
Baw Baw,LGA20830,Regional,42,585,241,451.34467,37,53396,1443.135135,34,52,63.67518166,85,55.7,1.803970193,-0.301121842,37.98861849,55.7
Bayside,LGA20910,Metro,44,897,1710,1600.194644,908,106862,117.6894273,97,401,90.7712751,91.2,68.1,1.957948436,2.233731695,10.84847581,68.1
Benalla,LGA21010,Regional,49,537,50,356.2014676,60,14037,233.95,4,7,28.4961174,90.3,65.1,1.454785691,-0.691099309,15.29542415,65.1
Boroondara,LGA21110,Metro,38,869,6791,3706.897963,123,183199,1489.422764,113,452,61.6815594,85.7,62.8,1.790155345,2.006244839,38.59304036,62.8
Brimbank,LGA21180,Metro,35,487,25990,12404.36611,3089,209523,67.82874717,977,3479,466.2972561,78.3,43.7,2.66866286,-1.097325837,8.235820977,43.7
Buloke,LGA21270,Regional,51,473,17,277.5963423,1745,6124,3.509455587,0,0,0,95,70.3,0,-1.211069265,1.873354101,70.3
Campaspe,LGA21370,Regional,45,561,128,340.2264632,1283,37622,29.32346064,5,16,13.29009622,92.5,60.2,1.123528125,-0.496110575,5.415114093,60.2
Cardinia,LGA21450,Metro,34,680,1195,1065.451725,409,112159,274.2273839,245,552,218.4398934,84.7,48.9,2.339331956,0.470708562,16.55981231,48.9
Casey,LGA21610,Metro,34,640,16303,4607.033051,592,353872,597.7567568,870,2163,245.8516074,83.4,46.5,2.390673052,0.145727339,24.44906454,46.5
Central Goldfields,LGA21670,Regional,50,452,40,303.35204,1327,13186,9.936699322,0,2,0,87,62.7,0,-1.381684407,3.152253055,62.7
Colac Otway,LGA21750,Regional,45,574,143,663.1422742,1702,21564,12.66980024,11,150,51.01094417,87.4,57.8,1.707663362,-0.390491678,3.559466285,57.8
Corangamite,LGA21830,Regional,46,542,23,143.5705368,54,16020,296.6666667,3,9,18.72659176,92.3,62,1.272458743,-0.650476656,17.22401424,62
Darebin,LGA21890,Metro,36,650,10768,6558.495347,8085,164184,20.30723562,481,1530,292.9639916,73.5,46.6,2.466814244,0.226972645,4.506355026,46.6
East Gippsland,LGA22110,Regional,50,506,198,418.4630992,130,47316,363.9692308,2,11,4.226899992,89,63.5,0.626021973,-0.942959756,19.07797764,63.5
Frankston,LGA22170,Metro,38,660,1822,1277.314695,1442,142643,98.92024965,138,415,96.74502079,80.9,50.5,1.985628622,0.308217951,9.945865958,50.5
Gannawarra,LGA22250,Regional,49,498,26,248.2811306,39,10472,268.5128205,6,9,57.29564553,91.2,62.4,1.758121617,-1.007956001,16.38636081,62.4
Glen Eira,LGA22310,Metro,37,780,5815,3715.393806,2401,156511,65.18575594,135,449,86.25591811,83.5,57.8,1.935788902,1.283161618,8.073769624,57.8
Glenelg,LGA22410,Regional,47,536,42,213.4797194,1044,19674,18.84482759,0,19,0,88.7,59.3,0,-0.699223839,4.341062956,59.3
Golden Plains,LGA22490,Regional,39,628,61,257.145266,1158,23722,20.48531952,3,22,12.64648849,89,55.2,1.101969953,0.048232973,4.526071091,55.2
Greater Bendigo,LGA22620,Regional,39,604,1071,906.9123487,130,118093,908.4076923,12,116,10.1614829,87.9,60.2,1.006957091,-0.146755761,30.13980246,60.2
Greater Dandenong,LGA22670,Metro,35,475,25547,15188.37581,482,168201,348.9647303,483,1135,287.1564378,78.7,40.7,2.458118557,-1.194820204,18.6805977,40.7
Greater Geelong,LGA22750,Regional,40,600,3898,1505.402921,935,258934,276.9347594,87,506,33.59929557,90.6,61.4,1.526330172,-0.179253883,16.6413569,61.4
Greater Shepparton,LGA22830,Regional,39,588,2081,3129.417426,569,66498,116.8681898,90,287,135.3424163,88.9,52.1,2.131433926,-0.27674825,10.81055918,52.1
Hepburn,LGA22910,Regional,50,532,65,406.885759,2905,15975,5.499139415,0,5,0,88.7,63.7,0,-0.731721962,2.345024395,63.7
Hindmarsh,LGA22980,Regional,50,497,103,1843.235505,64,5588,87.3125,0,0,0,88.6,59.5,0,-1.016080531,9.344115796,59.5
Hobsons Bay,LGA23110,Metro,38,704,4332,4431.668218,1647,97751,59.35094111,276,1336,282.3500527,81.5,53.9,2.450787873,0.665697296,7.703956198,53.9
Horsham,LGA23190,Regional,42,617,97,486.9233472,504,19921,39.52579365,1,15,5.019828322,88.7,59.4,0.700688865,-0.041136864,6.286954243,59.4
Hume,LGA23270,Metro,33,529,15974,6841.963242,788,233471,296.2829949,3246,8711,1390.322567,80.7,40.1,3.143115572,-0.756095553,17.21287294,40.1
Indigo,LGA23350,Regional,46,641,27,161.666966,91,16701,183.5274725,1,3,5.987665409,92.8,62,0.777257524,0.15385187,13.54723118,62
Kingston,LGA23430,Metro,40,704,6488,3913.573247,114,165782,1454.22807,157,510,94.70268184,83.9,55.3,1.976362278,0.665697296,38.1343424,55.3
Knox,LGA23670,Metro,39,664,5941,3610.716066,551,164538,298.6170599,193,414,117.2981317,85,53.8,2.069291095,0.340716073,17.28053992,53.8
Latrobe,LGA23810,Regional,41,544,681,901.2585858,2585,75561,29.23056093,91,148,120.4324982,79.3,48.9,2.080743695,-0.634227595,5.406529472,48.9
