LGA,LGA_CODE,region,age,weekly_income,non_english,prop_non_english,area,pop,pop_density,active,Total Cases,case_rate,First,Second,log_active,normalised_weekly_income,sqrt_pop_density
Alpine,LGA20110,Regional,49,562,119,929,1849,12814,6.9,0,1,0,89.9,65.7,0,-0.487986045,2.632533487
Ararat,LGA20260,Regional,46,556,78,659,1626,11845,7.3,7,15,59,85.9,59.0,1.771562975,-0.536733228,2.699027204
Ballarat,LGA20570,Regional,38,590,710,648,285,109505,384.2,36,114,33,88.4,57.4,1.516868551,-0.260499189,19.60173641
Banyule,LGA20660,Metro,39,728,3689,2803,63,131631,2089.4,243,857,185,86.6,59.9,2.266248093,0.860686029,45.7097468
Bass Coast,LGA20740,Regional,50,507,210,578,1555,36320,23.4,9,22,25,93.9,64.0,1.39409667,-0.934835226,4.832899045
Baw Baw,LGA20830,Regional,42,585,241,451,37,53396,1443.1,34,52,64,85,55.7,1.803970193,-0.301121842,37.98861849
Bayside,LGA20910,Metro,44,897,1710,1600,908,106862,117.7,97,401,91,91.2,68.1,1.957948436,2.233731695,10.84847581
Benalla,LGA21010,Regional,49,537,50,356,60,14037,234.0,4,7,28,90.3,65.1,1.454785691,-0.691099309,15.29542415
Boroondara,LGA21110,Metro,38,869,6791,3707,123,183199,1489.4,113,452,62,85.7,62.8,1.790155345,2.006244839,38.59304036
Brimbank,LGA21180,Metro,35,487,25990,12404,3089,209523,67.8,977,3479,466,78.3,43.7,2.66866286,-1.097325837,8.235820977
Buloke,LGA21270,Regional,51,473,17,278,1745,6124,3.5,0,0,0,95,70.3,0,-1.211069265,1.873354101
Campaspe,LGA21370,Regional,45,561,128,340,1283,37622,29.3,5,16,13,92.5,60.2,1.123528125,-0.496110575,5.415114093
Cardinia,LGA21450,Metro,34,680,1195,1065,409,112159,274.2,245,552,218,84.7,48.9,2.339331956,0.470708562,16.55981231
Casey,LGA21610,Metro,34,640,16303,4607,592,353872,597.8,870,2163,246,83.4,46.5,2.390673052,0.145727339,24.44906454
Central Goldfields,LGA21670,Regional,50,452,40,303,1327,13186,9.9,0,2,0,87,62.7,0,-1.381684407,3.152253055
Colac Otway,LGA21750,Regional,45,574,143,663,1702,21564,12.7,11,150,51,87.4,57.8,1.707663362,-0.390491678,3.559466285
Corangamite,LGA21830,Regional,46,542,23,144,54,16020,296.7,3,9,19,92.3,62.0,1.272458743,-0.650476656,17.22401424
Darebin,LGA21890,Metro,36,650,10768,6558,8085,164184,20.3,481,1530,293,73.5,46.6,2.466814244,0.226972645,4.506355026
East Gippsland,LGA22110,Regional,50,506,198,418,130,47316,364.0,2,11,4,89,63.5,0.626021973,-0.942959756,19.07797764
Frankston,LGA22170,Metro,38,660,1822,1277,1442,142643,98.9,138,415,97,80.9,50.5,1.985628622,0.308217951,9.945865958
Gannawarra,LGA22250,Regional,49,498,26,248,39,10472,268.5,6,9,57,91.2,62.4,1.758121617,-1.007956001,16.38636081
Glen Eira,LGA22310,Metro,37,780,5815,3715,2401,156511,65.2,135,449,86,83.5,57.8,1.935788902,1.283161618,8.073769624
Glenelg,LGA22410,Regional,47,536,42,213,1044,19674,18.8,0,19,0,88.7,59.3,0,-0.699223839,4.341062956
Golden Plains,LGA22490,Regional,39,628,61,257,1158,23722,20.5,3,22,13,89,55.2,1.101969953,0.048232973,4.526071091
Greater Bendigo,LGA22620,Regional,39,604,1071,907,130,118093,908.4,12,116,10,87.9,60.2,1.006957091,-0.146755761,30.13980246
Greater Dandenong,LGA22670,Metro,35,475,25547,15188,482,168201,349.0,483,1135,287,78.7,40.7,2.458118557,-1.194820204,18.6805977
Greater Geelong,LGA22750,Regional,40,600,3898,1505,935,258934,276.9,87,506,34,90.6,61.4,1.526330172,-0.179253883,16.6413569
Greater Shepparton,LGA22830,Regional,39,588,2081,3129,569,66498,116.9,90,287,135,88.9,52.1,2.131433926,-0.27674825,10.81055918
Hepburn,LGA22910,Regional,50,532,65,407,2905,15975,5.5,0,5,0,88.7,63.7,0,-0.731721962,2.345024395
Hindmarsh,LGA22980,Regional,50,497,103,1843,64,5588,87.3,0,0,0,88.6,59.5,0,-1.016080531,9.344115796
Hobsons Bay,LGA23110,Metro,38,704,4332,4432,1647,97751,59.4,276,1336,282,81.5,53.9,2.450787873,0.665697296,7.703956198
Horsham,LGA23190,Regional,42,617,97,487,504,19921,39.5,1,15,5,88.7,59.4,0.700688865,-0.041136864,6.286954243
